"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"odh-PastOrPresentJob-model","","","",0,*,"","","","","","Related data elements for a current or previous job, as reported by the person, i.e., a work situation or position held for a specified time period.
A person can have more than one job at the same time and multiple jobs over time, so the data related to each job must remain in the record in perpetuity. Each job should be recorded in a separate instance of PastOrPresentJob.
A person's job can be a social determinant of their health and information about a person's job can support patient care, population health, and public health. In patient care, knowledge of a person's past or present job(s) can impact recognition, diagnosis, management, and treatment of injuries and illnesses. These data also can be used for clinical decision support and to prompt discussion of preventive care measures. For example, a record of jobs that require prolonged time in the sun might prompt a health care provider to inquire if the person wears protective clothing or sunscreen while working.
At a minimum, it is important to have a record of a person's current job(s); i.e., the job(s) in which a person is engaged at the time that he or she presents to a health care provider, regardless of duration, and to retain that information over time. In the event a person recently stopped working (e.g. retired without another job, became unemployed or disabled and unable to work), the most recent job(s) is used instead of the current job(s).","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model",0,*,"",""
"odh-PastOrPresentJob-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.metadata",0,1,"",""
"odh-PastOrPresentJob-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0023008
",,,,"odh-PastOrPresentJob-model.language",0,1,"",""
"odh-PastOrPresentJob-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.implicitRules",0,1,"",""
"odh-PastOrPresentJob-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.narrative",0,1,"",""
"odh-PastOrPresentJob-model.status","","","",1,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/observation-status","",,,,"odh-PastOrPresentJob-model.status",1,1,"",""
"odh-PastOrPresentJob-model.identifier","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.identifier",0,*,"",""
"odh-PastOrPresentJob-model.patientSubjectOfRecord","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Patient-model]]}
","The SubjectOfRecord when restricted to being a Patient resource.","The SubjectOfRecord when restricted to being a Patient resource.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C1299487
",,,,"odh-PastOrPresentJob-model.patientSubjectOfRecord",1,1,"",""
"odh-PastOrPresentJob-model.careContext","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Encounter-model]]}
","The encounter or episode of care","The encounter or episode of care","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.careContext",0,1,"",""
"odh-PastOrPresentJob-model.statementDateTime","","","",0,1,"","","","dateTime {[]} {[]}
","The point in time when the statement was created.","The point in time when the statement was created.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C3669169
",,,,"odh-PastOrPresentJob-model.statementDateTime",0,1,"",""
"odh-PastOrPresentJob-model.code","","","",1,1,"","","","Coding {[]} {[]}
","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","The main type identifier for a lab, procedure, condition, etc., usually drawn from a controlled vocabulary.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.code",1,1,"",""
"odh-PastOrPresentJob-model.code.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"odh-PastOrPresentJob-model.code.extension","","","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"",""
"odh-PastOrPresentJob-model.code.system","","","",1,1,"","","Y","uri {[]} {[]}
","Identity of the terminology system","The identification of the code system that defines the meaning of the symbol in the code.","The URI may be an OID (urn:oid:...) or a UUID (urn:uuid:...).  OIDs and UUIDs SHALL be references to the HL7 OID registry. Otherwise, the URI should come from HL7's list of FHIR defined special URIs or it should de-reference to some definition that establish the system clearly and unambiguously.","Need to be unambiguous about the source of the definition of the symbol.","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://loinc.org""/>","","","","",,,,,"",,,,"Coding.system",0,1,"",""
"odh-PastOrPresentJob-model.code.version","","","",0,1,"","","Y","string {[]} {[]}
","Version of the system - if relevant","The version of the code system which was used when choosing this code. Note that a well-maintained code system does not need the version reported, because the meaning of codes is consistent across versions. However this cannot consistently be assured. and when the meaning is not guaranteed to be consistent, the version SHOULD be exchanged.","Where the terminology does not clearly define what string should be used to identify code system versions, the recommendation is to use the date (expressed in FHIR date format) on which that version was officially published as the version date.","","","","","","","","",,,,,"",,,,"Coding.version",0,1,"",""
"odh-PastOrPresentJob-model.code.code","","","",1,1,"","","Y","code {[]} {[]}
","Symbol in syntax defined by the system","A symbol in syntax defined by the system. The symbol may be a predefined code or an expression in a syntax defined by the coding system (e.g. post-coordination).","","Need to refer to a particular code in the system.","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""11341-5""/>","","","","",,,,,"",,,,"Coding.code",0,1,"",""
"odh-PastOrPresentJob-model.code.display","","","",0,1,"","","Y","string {[]} {[]}
","Representation defined by the system","A representation of the meaning of the code in the system, following the rules of the system.","","Need to be able to carry a human-readable meaning of the code for readers that do not know  the system.","","","","","","","",,,,,"",,,,"Coding.display",0,1,"",""
"odh-PastOrPresentJob-model.code.userSelected","","","",0,1,"","","Y","boolean {[]} {[]}
","If this coding was chosen directly by the user","Indicates that this coding was chosen by a user directly - i.e. off a pick list of available items (codes or displays).","Amongst a set of alternatives, a directly chosen code is the most appropriate starting point for new translations. There is some ambiguity about what exactly 'directly chosen' implies, and trading partner agreement may be needed to clarify the use of this element and its consequences more completely.","This has been identified as a clinical safety criterium - that this exact system/code pair was chosen explicitly, rather than inferred by the system based on some rules or language processing.","","","","","","","",,,,,"",,,,"Coding.userSelected",0,1,"",""
"odh-PastOrPresentJob-model.dataValue","","","",0,0,"","","","Coding {[]} {[]}
","The value or result of a test, evaluation, or judgment, for example, a systolic blood pressure, or if a condition or body structure is present or absent.","The value or result of a test, evaluation, or judgment, for example, a systolic blood pressure, or if a condition or body structure is present or absent.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.dataValue",0,0,"",""
"odh-PastOrPresentJob-model.dataAbsentReason","","","",0,0,"","","","Coding {[]} {[]}
","Reason that a value associated with a test or other finding is missing.","Reason that a value associated with a test or other finding is missing.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/data-absent-reason","",,,,"odh-PastOrPresentJob-model.dataAbsentReason",0,0,"",""
"odh-PastOrPresentJob-model.method","","","",0,0,"","","","Coding {[]} {[]}
","The technique used to carry out an action, for example, the specific imaging technical or assessment vehicle.","The technique used to carry out an action, for example, the specific imaging technical or assessment vehicle.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.method",0,0,"",""
"odh-PastOrPresentJob-model.relevantTime","","","",1,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}
","The time or time period that the statement addresses.","The time or time period that the statement addresses.
The clinically relevant time is not necessarily when the information is gathered or when a test is carried out, but for example, when a specimen was collected, or the time period referred to by the question. Use a TimePeriod for a measurement or specimen collection continued over a significant period of time (e.g. 24 hour Urine Sodium).","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C1948053
",,,,"odh-PastOrPresentJob-model.relevantTime",1,1,"",""
"odh-PastOrPresentJob-model.category","","","",0,1,"","","","Coding {[]} {[]}
","The type, kind, or class of this item.","The type, kind, or class of this item.","","","","","","","","","",,,,,"",,,,"odh-PastOrPresentJob-model.category",0,1,"",""
