"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"odh-EmployerPerson-model","","","",0,*,"","","","","","A related person who is an employer","","","","","","","","","",,,,,"",,,,"odh-EmployerPerson-model",0,*,"",""
"odh-EmployerPerson-model.metadata","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Metadata-model {[]} {[]}
","Elements that belong to all information items.","Elements that belong to all information items.","","","","","","","","","",,,,,"",,,,"odh-EmployerPerson-model.metadata",0,1,"",""
"odh-EmployerPerson-model.language","","","",0,1,"","","","Coding {[]} {[]}
","A human language, spoken or written.","A human language, spoken or written.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0023008
",,,,"odh-EmployerPerson-model.language",0,1,"",""
"odh-EmployerPerson-model.implicitRules","","","",0,1,"","","","uri {[]} {[]}
","A set of rules under which this content was created","A set of rules under which this content was created","","","","","","","","","",,,,,"",,,,"odh-EmployerPerson-model.implicitRules",0,1,"",""
"odh-EmployerPerson-model.narrative","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Narrative-model {[]} {[]}
","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","A human-readable narrative, potentially including images, that contains a summary of the resource, and may be used to represent the content of the resource to a human.","","","","","","","","","",,,,,"",,,,"odh-EmployerPerson-model.narrative",0,1,"",""
"odh-EmployerPerson-model.status","","","",0,1,"","","","Coding {[]} {[]}
","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","A state that relates to the workflow or interpretation of this resource. Certain status values can modify the meaning of the resource, for example, entered-in-error. When a boolean value is used, Status of true indicates the record is active, false means inactive.","","","","","","","","","",,"required","","http://hl7.org/fhir/us/odh/shr/core/vs/ActiveOrInactiveVS","",,,,"odh-EmployerPerson-model.status",0,1,"",""
"odh-EmployerPerson-model.identifier","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Identifier-model {[]} {[]}
","Business identifier or external id for this resource.","Business identifier or external id for this resource.","","","","","","","","","",,,,,"",,,,"odh-EmployerPerson-model.identifier",0,*,"",""
"odh-EmployerPerson-model.person","","","",0,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Person-model {[]} {[]}
","A person relevant to the health or social situation of the subject (including the subject him- or herself).","A person relevant to the health or social situation of the subject (including the subject him- or herself).","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0027361
",,,,"odh-EmployerPerson-model.person",0,1,"",""
"odh-EmployerPerson-model.person.humanName","","","",1,1,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-HumanName-model {[]} {[]}
","A name used by a human being, written as it would be typically expressed. May include a breakdown of the various elements of the name (family name, given name, etc.).","A name used by a human being, written as it would be typically expressed. May include a breakdown of the various elements of the name (family name, given name, etc.).","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C1547383
",,,,"odh-EmployerPerson-model.person.humanName",1,*,"",""
"odh-EmployerPerson-model.person.dateOfBirth[x]","","","",0,1,"","","","date {[]} {[]}
http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-TimePeriod-model {[]} {[]}","A date of birth or approximate year or period (year or date range), if estimated.","A date of birth or approximate year or period (year or date range), if estimated.","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C2919018
http://loinc.org#21112-8",,,,"odh-EmployerPerson-model.person.dateOfBirth[x]",0,1,"",""
"odh-EmployerPerson-model.person.administrativeGender","","","",1,1,"","","","Coding {[]} {[]}
","A gender classification used for administrative purposes. Administrative gender is not necessarily the same as a biological description or a gender identity. This attribute does not include terms related to clinical gender.","A gender classification used for administrative purposes. Administrative gender is not necessarily the same as a biological description or a gender identity. This attribute does not include terms related to clinical gender.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/administrative-gender","http://ncimeta.nci.nih.gov#C1550327
",,,,"odh-EmployerPerson-model.person.administrativeGender",1,1,"",""
"odh-EmployerPerson-model.person.address","","","",0,*,"","","","http://hl7.org/fhir/us/shr/StructureDefinition/shr-core-Address-model {[]} {[]}
","An address expressed using postal conventions (as opposed to GPS or other location definition formats). This data type may be used to convey addresses for use in delivering mail as well as for visiting locations and which might not be valid for mail delivery. There are a variety of postal address formats defined around the world. (Source: HL7 FHIR).","An address expressed using postal conventions (as opposed to GPS or other location definition formats). This data type may be used to convey addresses for use in delivering mail as well as for visiting locations and which might not be valid for mail delivery. There are a variety of postal address formats defined around the world. (Source: HL7 FHIR).","","","","","","","","","",,,,,"http://ncimeta.nci.nih.gov#C0682130
",,,,"odh-EmployerPerson-model.person.address",0,*,"",""
